pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class,cpc1,cpc2,cpc3
pat0000,6882063,2005,Solar Inverter,DC to DC converter and power management system,Calgary,,Canada,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02M 7/003 (20130101); H05K 7/1432 (20130101); Y02E 10/56 (20130101),Y02E,H05K,H02M
pat0001,6914418,2005,Solar Monitoring,Multi-mode renewable power converter system ,Taipei,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=503&p=11&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,invalid url,,,,
pat0002,6928775,2005,Solar Mounting/Rack,Multi-use electric tile modules ,Tucson  AZ,AZ,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/035281 (20130101); H01L 31/042 (20130101); H01L 31/0482 (20130101); Y02B 10/12 (20130101); Y02E 10/50 (20130101),H01L,Y02E,Y02B
pat0003,6930238,2005,Solar Mounting/Rack,Solar cell module-mounting structure and solar cell module array,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6930238,valid,F24J 2/5237 (20130101); H01L 31/0422 (20130101); F24J 2002/4687 (20130101); F24J 2002/5292 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101),F24J,Y02E,H01L
pat0004,6940735,2005,Solar Inverter,Power converter system ,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=145&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,no CPC,,,,
pat0005,6949843,2005,Solar Inverter,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,Columbia  MD,MD,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02H 5/042 (20130101); H02H 7/122 (20130101),H02H,,
pat0006,6956500,2005,Solar Monitoring,Real-time residential energy monitor ,Ormond Beach  FL,FL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=490&p=10&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,invalid url,,,,
pat0007,6959517,2005,Solar Mounting/Rack,Photovoltaic panel mounting bracket,Perrysburg  OH,OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6959517.PN.&OS=PN/6959517&RS=PN/6959517,valid,E06B 1/6015 (20130101); E06B 3/5842 (20130101); F24J 2/464 (20130101); F24J 2/465 (20130101); F24J 2/5211 (20130101); F24J 2/5243 (20130101); F24J 2/5254 (20130101); H01L 31/0422 (20130101); H01L 31/0482 (20130101); F24J 2002/4676 (20130101); Y02B 10/12 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101),F24J,Y02E,E06B
pat0008,6966184,2005,Solar Inverter,Photovoltaic power generating apparatus  method of producing same and photovoltaic power generating system ,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6966184,valid,H01L 27/142 (20130101); H01L 31/042 (20130101); Y02E 10/46 (20130101); Y02E 10/50 (20130101),Y02E,H01L,
pat0009,7000395,2006,Solar Monitoring; Solar Inverter,Hybrid clean-energy power-supply framework ,Jhongli ,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395,valid,F01K 13/00 (20130101); F01K 13/02 (20130101),F01K,,
